행정구역코드,시도명,시군구명,읍면동명,혼잡시간강도,혼잡빈도강도,전체추정교통량,등록차수,교통량,승용차 추정교통량,버스 추정교통량,화물차 추정교통량,주차장혼잡평균
1105053,서울특별시,광진구,화양동,88.21,73.46,24209,17981,1.346365608,19977,204,4028,19.59813084
1105054,서울특별시,광진구,군자동,89.6,79.55,19478,15160,1.284828496,16009,182,3287,76.59034268
1105055,서울특별시,광진구,중곡1동,84.38,73.36,20672,8771,2.356857827,16822,344,3506,25.23520249
1105056,서울특별시,광진구,중곡2동,94.51,88.86,20830,20212,1.030575896,17180,229,3421,57.85825545
1105057,서울특별시,광진구,중곡3동,81.56,70.38,29138,19020,1.531966351,23502,676,4960,73.98364486
1105058,서울특별시,광진구,중곡4동,81.1,63.39,11357,7434,1.527710519,9626,88,1643,83.4228972
1105059,서울특별시,광진구,능동,69.05,41.8,18589,3050,6.094754098,15444,153,2992,51.99221184
1105060,서울특별시,광진구,구의1동,89,75.26,15873,6686,2.374065211,12882,112,2879,47.4953271
1105061,서울특별시,광진구,구의2동,95.32,91.6,19342,17295,1.118357907,15502,200,3640,5.559190031
1105062,서울특별시,광진구,구의3동,66.59,47.97,21689,9168,2.365728621,17009,212,4468,75.65109034
1105063,서울특별시,광진구,광장동,76.26,64.43,19303,11677,1.653078702,14982,198,4123,27.93068536
1105064,서울특별시,광진구,자양1동,74.62,54.12,10348,7654,1.351972825,8759,68,1521,77.73909657
1105065,서울특별시,광진구,자양2동,71.87,59.57,37087,9386,3.951310462,28984,406,7697,15.60124611
1105066,서울특별시,광진구,자양3동,77.41,65.26,19432,8278,2.347426915,15732,149,3551,24.89018692
1105067,서울특별시,광진구,자양4동,91,83.12,31939,9139,3.494802495,25846,413,5680,18.23676012
1106071,서울특별시,동대문구,회기동,88,66.81,19185,7124,2.693009545,15807,105,3273,27.52725857
1106072,서울특별시,동대문구,휘경1동,82.33,73.53,17665,16932,1.04329081,14561,125,2979,20.0529595
1106073,서울특별시,동대문구,휘경2동,70,50.71,22711,6353,3.574846529,18619,239,3853,55.65965732
1106080,서울특별시,동대문구,청량리동,78.8,63.98,17612,5086,3.462839166,14542,87,2983,84.7546729
1106081,서울특별시,동대문구,용신동,76.41,58.01,18208,10209,1.783524341,14844,128,3236,24.89018692
1106082,서울특별시,동대문구,제기동,71.87,50.8,22149,6448,3.43501861,18099,161,3889,18.23676012
1106083,서울특별시,동대문구,전농1동,78.21,58.41,12223,7491,1.631691363,10067,63,2093,27.52725857
1106084,서울특별시,동대문구,전농2동,49.5,23.39,18134,5449,3.327950083,14941,109,3084,20.0529595
1106086,서울특별시,동대문구,답십리2동,62.13,34.48,13855,8629,1.605632171,11342,122,2391,55.65965732
1106087,서울특별시,동대문구,장안1동,53.72,26.71,22768,12984,1.753542822,18524,247,3997,84.7546729
